DatasetName,NMI,ARI,ExecutionTime,AugmentationMethod,AugmentationMethodExecTime
acm,0.685247421588701,0.7490814385918183,33.899423122406006,feature_masking,0.1646580696105957
acm,0.709981903678121,0.771056441082254,33.945332050323486,feature_shuffling,0.20995473861694336
acm,0.7064950402234194,0.7686597447521382,41.332175970077515,graph_rewiring,3.8568408489227295
acm,0.6829129226229831,0.7513072276226807,37.24265909194946,graph_diffusion_ppr,2.897566080093384
acm,0.6821910864219067,0.7513636921263419,37.3600857257843,graph_diffusion_ppr,2.826444149017334
acm,0.6859331087827008,0.7537967401143624,38.01468324661255,graph_diffusion_heat,7.7254767417907715
acm,0.6727764854610363,0.7401678358375368,36.38629698753357,edge_perturbation,1.047421932220459
acm,0.7093928589387694,0.7745079653745199,25.973180770874023,node_insertion,0.11491894721984863
acm,0.6401737244874751,0.7053943421196248,25.299736976623535,node_dropping,0.2217559814453125
acm,0.7264205627549469,0.7915383421238252,30.103758096694946,graph_sampling,0.8911960124969482
acm,0.7165404587367916,0.7800135664020722,29.662675857543945,graph_sampling,0.897132158279419
acm,0.7531116690103457,0.8162517594854231,29.56183695793152,graph_sampling,0.894740104675293
acm,0.702921648668233,0.767569122762822,29.572551250457764,graph_sampling,0.9738821983337402
acm,0.7289682121406108,0.7945388477559584,29.656508922576904,graph_sampling,0.8966231346130371
acm,0.7502801536921695,0.8082224668291442,29.941288948059082,graph_sampling,0.8350679874420166
acm,0.7481222232851421,0.8096191938573367,29.904667139053345,graph_sampling,0.8379428386688232
acm,0.6475720600257475,0.6953095550791266,30.280309915542603,graph_sampling,0.8516559600830078
acm,0.7515439872306611,0.8111064365160858,30.32403016090393,graph_sampling,0.873706579208374
acm,0.6227143075359689,0.6689822271179757,30.334166049957275,graph_sampling,0.8085658550262451
acm,0.7152057732677599,0.7833308487042069,30.148032903671265,graph_sampling,0.8191089630126953
acm,0.7555242471006657,0.8154509096438385,30.0880389213562,graph_sampling,0.8225958347320557
acm,0.738539837897601,0.8029815322188689,30.205833196640015,graph_sampling,0.8108739852905273
acm,0.5928252663392178,0.6281464713858391,30.14362096786499,graph_sampling,0.8639729022979736
acm,0.7404470607412779,0.8028682792146856,30.617603063583374,graph_sampling,0.834784984588623
acm,0.6857178162082275,0.753579987706199,36.50944495201111,graph_diffusion_heat,13.296086072921753
acm,0.6854222733568867,0.7536457570366454,36.70285487174988,graph_diffusion_ppr,5.45366907119751
imdb,0.15894609183500155,0.15468005739819096,39.96899104118347,feature_masking,0.22729086875915527
imdb,0.16275557850931888,0.1629165425688187,31.54802894592285,feature_shuffling,0.2500171661376953
imdb,0.16177071377714683,0.1621795279790315,39.70940613746643,graph_rewiring,5.256763935089111
imdb,0.15989617793090535,0.15943826127319471,33.980135917663574,graph_diffusion_ppr,8.646957874298096
imdb,0.1593233188627501,0.15893374493986867,34.073710918426514,graph_diffusion_heat,18.187665939331055
imdb,0.1564546688179201,0.15714472636670218,34.28602695465088,edge_perturbation,1.6090278625488281
imdb,0.16289665939856177,0.16266372055585027,20.523885011672974,node_insertion,0.1938629150390625
imdb,0.012778540215387777,0.012997866301333701,16.417836904525757,node_dropping,0.32590603828430176
imdb,0.010850810643169858,0.010258594386501063,17.748427152633667,node_dropping,0.3246269226074219
acm,0.37530953317071714,0.37103472847654945,22.94292402267456,node_dropping,0.15755605697631836
acm,0.6341013708924562,0.6918850402419194,25.299547910690308,node_dropping,0.22075319290161133
imdb,0.01530811492152746,0.015347578973245925,20.069875240325928,node_dropping,0.49676990509033203
imdb,0.013668893844837198,0.013329846377579987,18.39798402786255,node_dropping,0.420788049697876
imdb,0.15489993865346768,0.15673087349480458,22.34092688560486,graph_sampling,0.8801760673522949
imdb,0.1627382774538741,0.16290027968213794,38.228156089782715,no_augmentation,9.775161743164062e-06
